cgpa,backlogs,internships,projects,coding_score,communication_score,attendance_percent,placed
7.75,1,2,3,98.1,78.8,69.9,1
7.05,0,3,2,39.2,72.2,72.4,1
7.91,3,3,1,61.8,98.9,68.7,0
8.88,0,0,4,72.3,75.2,81.1,1
6.94,1,2,2,78.8,58.1,100.0,1
6.94,3,3,0,42.7,80.3,80.7,0
8.94,2,0,3,37.4,76.7,82.7,0
8.04,2,3,2,84.6,65.4,74.0,1
6.68,1,2,4,52.0,62.2,81.4,1
7.8,2,1,4,51.3,65.5,94.3,0
6.69,1,1,2,92.9,62.0,83.4,0
6.69,0,3,4,66.3,66.0,100.0,1
7.47,0,1,3,66.4,57.4,94.6,1
5.1,0,2,2,61.8,75.8,81.1,0
5.3,3,2,3,43.0,74.7,80.9,0
6.58,0,2,1,77.2,75.2,98.3,1
6.09,0,2,1,72.4,69.1,83.4,0
7.55,0,2,0,68.0,67.3,96.1,1
6.2,1,1,0,62.9,91.6,100.0,0
5.65,0,2,1,59.7,71.0,80.0,0
8.81,0,0,4,81.4,89.0,85.5,1
6.95,0,2,3,62.5,55.1,91.8,1
7.27,0,2,1,63.8,78.8,89.7,1
5.63,1,0,0,74.5,59.0,89.6,0
6.6,1,2,1,68.7,61.7,68.7,0
7.32,0,0,4,94.6,63.8,73.5,1
5.93,0,2,1,33.3,62.9,77.0,0
7.61,1,1,3,70.4,63.0,94.1,1
6.54,1,0,2,52.3,88.3,69.6,0
6.88,3,1,4,48.0,70.7,97.2,0
6.54,0,0,0,56.8,73.4,89.8,0
9.24,0,2,3,66.0,63.1,93.5,1
7.19,0,2,1,66.8,82.9,72.7,1
6.04,0,3,1,37.7,75.3,82.7,1
8.1,1,2,2,55.3,65.4,85.0,1
5.86,0,3,0,70.1,46.2,84.5,1
7.43,0,0,0,49.2,73.2,85.0,0
5.04,3,1,2,44.9,78.6,79.2,0
5.74,0,1,0,24.4,55.3,83.4,0
7.42,1,2,2,53.1,65.6,92.3,0
8.01,3,2,2,44.3,78.1,70.3,0
7.39,0,3,2,47.3,46.4,97.5,1
7.07,0,2,1,60.1,60.3,91.8,1
